Date,Journey_ID,Transport_Mode,Origin_Station,Destination_Station,Tap_In_Time,Tap_Out_Time,Journey_Cost,Delay_Minutes,Origin_Borough,Destination_Borough
21/09/2024,TFL-J-422610,Tube,Stratford,Liverpool Street,21/09/2024 12:03,21/09/2024 12:24,3.97,0,Newham,City of London
14/02/2024,TFL-J-228818,Bus,Paddington,Stratford,14/02/2024 09:11,14/02/2024 10:02,1.75,20,Westminster,Newham
25/08/2024,TFL-J-723520,Tube,Euston,Paddington,25/08/2024 08:03,25/08/2024 08:05,9.4,14,Camden,Westminster
15/02/2024,TFL-J-695985,Overground,Paddington,Victoria,15/02/2024 21:24,15/02/2024 22:05,2.81,2,Westminster,Westminster
03/11/2024,TFL-J-175457,Tube,Euston,Stratford,03/11/2024 07:12,03/11/2024 07:36,2.98,3,Camden,Newham
25/08/2024,TFL-J-961534,Tube,Euston,Kings Cross,25/08/2024 17:10,25/08/2024 17:57,2.86,3,Camden,Camden
04/06/2024,TFL-J-850930,Tube,Kings Cross,Euston,04/06/2024 13:56,04/06/2024 14:16,2.83,2,Camden,Camden
15/10/2024,TFL-J-975541,Bus,Kings Cross,Bank,15/10/2024 07:12,15/10/2024 07:57,1.75,7,Camden,City of London
11/07/2024,TFL-J-752188,Tube,Euston,Bank,11/07/2024 07:36,11/07/2024 08:32,3.41,40,Camden,City of London
27/02/2024,TFL-J-294616,Overground,Paddington,Waterloo,27/02/2024 18:32,27/02/2024 17:38,5.43,11,Westminster,Lambeth
12/08/2024,TFL-J-537466,Bus,Victoria,Kings Cross,12/08/2024 18:09,12/08/2024 18:42,1.75,3,Westminster,Camden
26/04/2024,TFL-J-588875,Tube,Liverpool Street,London Bridge,26/04/2024 23:26,26/04/2024 23:47,5.09,0,City of London,Southwark
24/02/2024,TFL-J-327282,Tube,London Bridge,Liverpool Street,24/02/2024 17:52,24/02/2024 18:40,5.49,3,Southwark,City of London
20/08/2024,TFL-J-686066,Tube,Waterloo,Kings Cross,20/08/2024 08:09,20/08/2024 08:17,9.4,18,Lambeth,Camden
11/05/2024,TFL-J-464801,Overground,Stratford,London Bridge,11/05/2024 16:57,11/05/2024 17:46,3.93,26,Newham,Southwark
08/07/2024,TFL-J-876626,Overground,Liverpool Street,Stratford,08/07/2024 13:40,08/07/2024 14:09,4.3,3,City of London,Newham
24/06/2024,TFL-J-326207,Overground,Canary Wharf,Euston,24/06/2024 12:35,24/06/2024 13:03,3.11,9,Tower Hamlets,Camden
21/07/2024,TFL-J-953660,Bus,Stratford,Waterloo,21/07/2024 18:24,21/07/2024 18:24,1.75,13,Newham,Lambeth
12/10/2024,TFL-J-895074,Tube,Bank,Victoria,12/10/2024 18:15,12/10/2024 18:56,4.5,13,City of London,Westminster
21/03/2024,TFL-J-859248,Bus,Euston,Stratford,21/03/2024 11:43,21/03/2024 11:51,9.4,2,Camden,Newham
05/07/2024,TFL-J-551978,Tube,Bank,Victoria,05/07/2024 07:55,05/07/2024 08:01,9.4,18,City of London,Westminster
17/01/2024,TFL-J-606779,Tube,Canary Wharf,Euston,17/01/2024 23:39,17/01/2024 23:57,3.02,1,Tower Hamlets,Camden
01/05/2024,TFL-J-888630,Tube,Euston,Paddington,01/05/2024 07:06,01/05/2024 07:57,4.02,18,Camden,Westminster
10/04/2024,TFL-J-524190,Bus,Waterloo,Paddington,10/04/2024 17:46,10/04/2024 18:41,1.75,38,Lambeth,Westminster
21/09/2024,TFL-J-968814,Overground,Waterloo,Victoria,21/09/2024 09:23,21/09/2024 10:02,4.34,14,Lambeth,Westminster
11/09/2024,TFL-J-597673,Tube,Kings Cross,Bank,11/09/2024 08:58,11/09/2024 10:00,4.99,18,Camden,City of London
21/10/2024,TFL-J-190844,Tube,Victoria,Liverpool Street,21/10/2024 18:37,21/10/2024 19:29,3.6,10,Westminster,City of London
21/11/2024,TFL-J-109683,Bus,London Bridge,Paddington,21/11/2024 09:34,21/11/2024 10:14,1.75,2,Southwark,Westminster
06/10/2024,TFL-J-534879,Tube,London Bridge,Liverpool Street,06/10/2024 09:51,06/10/2024 10:19,2.82,6,Southwark,City of London
29/08/2024,TFL-J-661846,Bus,Bank,Stratford,29/08/2024 07:09,29/08/2024 07:51,1.75,3,City of London,Newham
05/02/2024,TFL-J-455433,Tube,Paddington,Stratford,05/02/2024 09:03,05/02/2024 09:24,4.02,1,Westminster,Newham
