Date,Journey_ID,Transport_Mode,Origin_Station,Destination_Station,Tap_In_Time,Tap_Out_Time,Journey_Cost,Delay_Minutes,Origin_Borough,Destination_Borough,Journey_Duration
2024-09-21,TFL-J-422610,Tube,Stratford,Liverpool Street,2024-09-21 12:03:00,2024-09-21 12:24:00,3.97,0,Newham,City of London,21.0
2024-02-14,TFL-J-228818,Bus,Paddington,Stratford,2024-02-14 09:11:00,2024-02-14 10:02:00,1.75,20,Westminster,Newham,51.0
2024-08-25,TFL-J-723520,Tube,Euston,Paddington,2024-08-25 08:03:00,2024-08-25 08:05:00,9.4,14,Camden,Westminster,2.0
2024-02-15,TFL-J-695985,Overground,Paddington,Victoria,2024-02-15 21:24:00,2024-02-15 22:05:00,2.81,2,Westminster,Westminster,41.0
2024-11-03,TFL-J-175457,Tube,Euston,Stratford,2024-11-03 07:12:00,2024-11-03 07:36:00,2.98,3,Camden,Newham,24.0
2024-08-25,TFL-J-961534,Tube,Euston,Kings Cross,2024-08-25 17:10:00,2024-08-25 17:57:00,2.86,3,Camden,Camden,47.0
2024-06-04,TFL-J-850930,Tube,Kings Cross,Euston,2024-06-04 13:56:00,2024-06-04 14:16:00,2.83,2,Camden,Camden,20.0
2024-10-15,TFL-J-975541,Bus,Kings Cross,Bank,2024-10-15 07:12:00,2024-10-15 07:57:00,1.75,7,Camden,City of London,45.0
2024-07-11,TFL-J-752188,Tube,Euston,Bank,2024-07-11 07:36:00,2024-07-11 08:32:00,3.41,40,Camden,City of London,56.0
2024-08-12,TFL-J-537466,Bus,Victoria,Kings Cross,2024-08-12 18:09:00,2024-08-12 18:42:00,1.75,3,Westminster,Camden,33.0
2024-04-26,TFL-J-588875,Tube,Liverpool Street,London Bridge,2024-04-26 23:26:00,2024-04-26 23:47:00,5.09,0,City of London,Southwark,21.0
2024-02-24,TFL-J-327282,Tube,London Bridge,Liverpool Street,2024-02-24 17:52:00,2024-02-24 18:40:00,5.49,3,Southwark,City of London,48.0
2024-08-20,TFL-J-686066,Tube,Waterloo,Kings Cross,2024-08-20 08:09:00,2024-08-20 08:17:00,9.4,18,Lambeth,Camden,8.0
2024-05-11,TFL-J-464801,Overground,Stratford,London Bridge,2024-05-11 16:57:00,2024-05-11 17:46:00,3.93,26,Newham,Southwark,49.0
2024-07-08,TFL-J-876626,Overground,Liverpool Street,Stratford,2024-07-08 13:40:00,2024-07-08 14:09:00,4.3,3,City of London,Newham,29.0
2024-06-24,TFL-J-326207,Overground,Canary Wharf,Euston,2024-06-24 12:35:00,2024-06-24 13:03:00,3.11,9,Tower Hamlets,Camden,28.0
2024-10-12,TFL-J-895074,Tube,Bank,Victoria,2024-10-12 18:15:00,2024-10-12 18:56:00,4.5,13,City of London,Westminster,41.0
2024-03-21,TFL-J-859248,Bus,Euston,Stratford,2024-03-21 11:43:00,2024-03-21 11:51:00,9.4,2,Camden,Newham,8.0
2024-07-05,TFL-J-551978,Tube,Bank,Victoria,2024-07-05 07:55:00,2024-07-05 08:01:00,9.4,18,City of London,Westminster,6.0
2024-01-17,TFL-J-606779,Tube,Canary Wharf,Euston,2024-01-17 23:39:00,2024-01-17 23:57:00,3.02,1,Tower Hamlets,Camden,18.0
2024-05-01,TFL-J-888630,Tube,Euston,Paddington,2024-05-01 07:06:00,2024-05-01 07:57:00,4.02,18,Camden,Westminster,51.0
2024-04-10,TFL-J-524190,Bus,Waterloo,Paddington,2024-04-10 17:46:00,2024-04-10 18:41:00,1.75,38,Lambeth,Westminster,55.0
2024-09-21,TFL-J-968814,Overground,Waterloo,Victoria,2024-09-21 09:23:00,2024-09-21 10:02:00,4.34,14,Lambeth,Westminster,39.0
2024-09-11,TFL-J-597673,Tube,Kings Cross,Bank,2024-09-11 08:58:00,2024-09-11 10:00:00,4.99,18,Camden,City of London,62.0
2024-10-21,TFL-J-190844,Tube,Victoria,Liverpool Street,2024-10-21 18:37:00,2024-10-21 19:29:00,3.6,10,Westminster,City of London,52.0
2024-11-21,TFL-J-109683,Bus,London Bridge,Paddington,2024-11-21 09:34:00,2024-11-21 10:14:00,1.75,2,Southwark,Westminster,40.0
2024-10-06,TFL-J-534879,Tube,London Bridge,Liverpool Street,2024-10-06 09:51:00,2024-10-06 10:19:00,2.82,6,Southwark,City of London,28.0
2024-08-29,TFL-J-661846,Bus,Bank,Stratford,2024-08-29 07:09:00,2024-08-29 07:51:00,1.75,3,City of London,Newham,42.0
2024-02-05,TFL-J-455433,Tube,Paddington,Stratford,2024-02-05 09:03:00,2024-02-05 09:24:00,4.02,1,Westminster,Newham,21.0
2024-01-16,TFL-J-292207,Tube,Paddington,Kings Cross,2024-01-16 10:36:00,2024-01-16 11:00:00,5.2,1,Westminster,Camden,24.0
2024-05-26,TFL-J-765103,Tube,Bank,Stratford,2024-05-26 07:02:00,2024-05-26 07:38:00,3.99,11,City of London,Newham,36.0
2024-08-09,TFL-J-223610,Bus,Victoria,Stratford,2024-08-09 16:50:00,2024-08-09 17:29:00,1.75,3,Westminster,Newham,39.0
2024-05-25,TFL-J-573066,Tube,Victoria,Waterloo,2024-05-25 16:33:00,2024-05-25 17:08:00,4.15,9,Westminster,Lambeth,35.0
2024-04-03,TFL-J-147425,Tube,Stratford,Victoria,2024-04-03 14:51:00,2024-04-03 15:08:00,3.33,2,Newham,Westminster,17.0
2024-07-08,TFL-J-807126,Bus,London Bridge,Bank,2024-07-08 14:28:00,2024-07-08 15:03:00,5.14,1,Southwark,City of London,35.0
2024-03-17,TFL-J-157765,Tube,Canary Wharf,Euston,2024-03-17 09:06:00,2024-03-17 09:40:00,5.14,1,Tower Hamlets,Camden,34.0
2024-10-18,TFL-J-730344,Tube,Euston,Stratford,2024-10-18 14:24:00,2024-10-18 14:50:00,5.44,2,Camden,Newham,26.0
2024-08-09,TFL-J-411066,Tube,Kings Cross,Canary Wharf,2024-08-09 19:21:00,2024-08-09 19:54:00,4.0,1,Camden,Tower Hamlets,33.0
2024-08-16,TFL-J-418989,Bus,Kings Cross,Waterloo,2024-08-16 17:03:00,2024-08-16 17:54:00,1.75,21,Camden,Lambeth,51.0
2024-05-07,TFL-J-225541,Bus,Bank,Canary Wharf,2024-05-07 07:32:00,2024-05-07 08:17:00,1.75,23,City of London,Tower Hamlets,45.0
2024-09-17,TFL-J-659154,Overground,Waterloo,Paddington,2024-09-17 18:54:00,2024-09-17 19:50:00,3.19,13,Lambeth,Westminster,56.0
2024-02-25,TFL-J-904536,Tube,Paddington,Victoria,2024-02-25 22:44:00,2024-02-25 23:09:00,4.39,4,Westminster,Westminster,25.0
2024-04-17,TFL-J-272687,Tube,Stratford,Paddington,2024-04-17 08:43:00,2024-04-17 09:17:00,3.19,8,Newham,Westminster,34.0
2024-05-29,TFL-J-232684,Tube,Victoria,Paddington,2024-05-29 17:01:00,2024-05-29 17:39:00,3.88,8,Westminster,Westminster,38.0
2024-10-04,TFL-J-563168,Bus,Canary Wharf,Kings Cross,2024-10-04 09:36:00,2024-10-04 10:24:00,1.75,6,Tower Hamlets,Camden,48.0
2024-11-11,TFL-J-829529,Tube,Stratford,London Bridge,2024-11-11 17:07:00,2024-11-11 18:01:00,3.72,17,Newham,Southwark,54.0
2024-03-11,TFL-J-429403,Tube,Bank,Stratford,2024-03-11 10:52:00,2024-03-11 11:33:00,3.09,3,City of London,Newham,41.0
2024-06-12,TFL-J-969616,Bus,Kings Cross,Liverpool Street,2024-06-12 18:39:00,2024-06-12 19:30:00,1.75,6,Camden,City of London,51.0
2024-12-25,TFL-J-458204,Tube,Stratford,Canary Wharf,2024-12-25 18:54:00,2024-12-25 19:24:00,3.68,1,Newham,Tower Hamlets,30.0
2024-11-21,TFL-J-300524,Tube,Paddington,Victoria,2024-11-21 07:11:00,2024-11-21 07:50:00,5.44,24,Westminster,Westminster,39.0
2024-09-19,TFL-J-108080,Bus,Liverpool Street,Paddington,2024-09-19 17:57:00,2024-09-19 18:40:00,1.75,8,City of London,Westminster,43.0
2024-02-21,TFL-J-273106,Tube,Canary Wharf,Euston,2024-02-21 08:47:00,2024-02-21 09:11:00,4.12,1,Tower Hamlets,Camden,24.0
2024-04-19,TFL-J-303451,Tube,Victoria,London Bridge,2024-04-19 14:48:00,2024-04-19 15:27:00,10.57,10,Westminster,Southwark,39.0
2024-08-07,TFL-J-679547,Bus,Bank,Victoria,2024-08-07 17:00:00,2024-08-07 17:30:00,1.75,0,City of London,Westminster,30.0
2024-05-26,TFL-J-136880,Tube,Paddington,Canary Wharf,2024-05-26 07:51:00,2024-05-26 08:15:00,3.08,6,Westminster,Tower Hamlets,24.0
2024-08-12,TFL-J-237183,Bus,Waterloo,London Bridge,2024-08-12 10:22:00,2024-08-12 10:50:00,1.75,6,Lambeth,Southwark,28.0
