Date,Journey_ID,Transport_Mode,Origin_Station,Destination_Station,Tap_In_Time,Tap_Out_Time,Journey_Cost,Delay_Minutes,Origin_Borough,Destination_Borough,Journey_Duration,Cost_Per_Minute,Time_of_Day,Congestion_Tier
2024-09-21,TFL-J-422610,Tube,Stratford,Liverpool Street,2024-09-21 12:03:00,2024-09-21 12:24:00,3.97,0,Newham,City of London,21.0,0.18904761904761905,Off-Peak,Smooth
2024-02-14,TFL-J-228818,Bus,Paddington,Stratford,2024-02-14 09:11:00,2024-02-14 10:02:00,1.75,20,Westminster,Newham,51.0,0.03431372549019608,Peak AM,High Friction
2024-08-25,TFL-J-723520,Tube,Euston,Paddington,2024-08-25 08:03:00,2024-08-25 08:05:00,9.4,14,Camden,Westminster,2.0,4.7,Peak AM,High Friction
2024-02-15,TFL-J-695985,Overground,Paddington,Victoria,2024-02-15 21:24:00,2024-02-15 22:05:00,2.81,2,Westminster,Westminster,41.0,0.06853658536585366,Night,Smooth
2024-11-03,TFL-J-175457,Tube,Euston,Stratford,2024-11-03 07:12:00,2024-11-03 07:36:00,2.98,3,Camden,Newham,24.0,0.12416666666666666,Peak AM,Smooth
2024-08-25,TFL-J-961534,Tube,Euston,Kings Cross,2024-08-25 17:10:00,2024-08-25 17:57:00,2.86,3,Camden,Camden,47.0,0.06085106382978723,Peak PM,Smooth
2024-06-04,TFL-J-850930,Tube,Kings Cross,Euston,2024-06-04 13:56:00,2024-06-04 14:16:00,2.83,2,Camden,Camden,20.0,0.14150000000000001,Off-Peak,Smooth
2024-10-15,TFL-J-975541,Bus,Kings Cross,Bank,2024-10-15 07:12:00,2024-10-15 07:57:00,1.75,7,Camden,City of London,45.0,0.03888888888888889,Peak AM,Minor Delays
2024-07-11,TFL-J-752188,Tube,Euston,Bank,2024-07-11 07:36:00,2024-07-11 08:32:00,3.41,40,Camden,City of London,56.0,0.060892857142857144,Peak AM,High Friction
2024-08-12,TFL-J-537466,Bus,Victoria,Kings Cross,2024-08-12 18:09:00,2024-08-12 18:42:00,1.75,3,Westminster,Camden,33.0,0.05303030303030303,Peak PM,Smooth
2024-04-26,TFL-J-588875,Tube,Liverpool Street,London Bridge,2024-04-26 23:26:00,2024-04-26 23:47:00,5.09,0,City of London,Southwark,21.0,0.24238095238095236,Night,Smooth
2024-02-24,TFL-J-327282,Tube,London Bridge,Liverpool Street,2024-02-24 17:52:00,2024-02-24 18:40:00,5.49,3,Southwark,City of London,48.0,0.114375,Peak PM,Smooth
2024-08-20,TFL-J-686066,Tube,Waterloo,Kings Cross,2024-08-20 08:09:00,2024-08-20 08:17:00,9.4,18,Lambeth,Camden,8.0,1.175,Peak AM,High Friction
2024-05-11,TFL-J-464801,Overground,Stratford,London Bridge,2024-05-11 16:57:00,2024-05-11 17:46:00,3.93,26,Newham,Southwark,49.0,0.08020408163265307,Peak PM,High Friction
2024-07-08,TFL-J-876626,Overground,Liverpool Street,Stratford,2024-07-08 13:40:00,2024-07-08 14:09:00,4.3,3,City of London,Newham,29.0,0.1482758620689655,Off-Peak,Smooth
2024-06-24,TFL-J-326207,Overground,Canary Wharf,Euston,2024-06-24 12:35:00,2024-06-24 13:03:00,3.11,9,Tower Hamlets,Camden,28.0,0.11107142857142857,Off-Peak,Minor Delays
2024-10-12,TFL-J-895074,Tube,Bank,Victoria,2024-10-12 18:15:00,2024-10-12 18:56:00,4.5,13,City of London,Westminster,41.0,0.10975609756097561,Peak PM,High Friction
2024-03-21,TFL-J-859248,Bus,Euston,Stratford,2024-03-21 11:43:00,2024-03-21 11:51:00,9.4,2,Camden,Newham,8.0,1.175,Off-Peak,Smooth
