Journey_ID,Origin_Station,Destination_Station,Journey_Cost
TFL-J-723520,Euston,Paddington,9.4
TFL-J-686066,Waterloo,Kings Cross,9.4
TFL-J-859248,Euston,Stratford,9.4
TFL-J-551978,Bank,Victoria,9.4
TFL-J-807126,London Bridge,Bank,5.14
TFL-J-300524,Paddington,Victoria,5.44
TFL-J-303451,Victoria,London Bridge,10.57
TFL-J-499450,Kings Cross,Paddington,9.4
TFL-J-906834,Canary Wharf,Waterloo,7.83
TFL-J-882268,London Bridge,Victoria,9.4
TFL-J-783408,Euston,Stratford,9.4
TFL-J-410187,Stratford,Euston,9.4
TFL-J-990232,Waterloo,Victoria,13.78
TFL-J-668479,Euston,Victoria,9.93
TFL-J-633849,London Bridge,Paddington,9.91
TFL-J-837975,Waterloo,Liverpool Street,9.58
TFL-J-989219,London Bridge,Kings Cross,4.43
TFL-J-711898,Canary Wharf,Kings Cross,4.74
TFL-J-856674,London Bridge,Bank,9.4
TFL-J-960033,Victoria,Kings Cross,12.04
TFL-J-603790,Paddington,Stratford,5.38
TFL-J-898033,Liverpool Street,Kings Cross,9.98
TFL-J-350236,Waterloo,Victoria,9.4
TFL-J-180631,Victoria,Bank,5.05
TFL-J-272265,Liverpool Street,Euston,13.14
TFL-J-355197,Paddington,Stratford,5.41
TFL-J-232168,Canary Wharf,Kings Cross,4.95
TFL-J-535615,Waterloo,Stratford,9.4
TFL-J-869214,Liverpool Street,Paddington,9.4
TFL-J-623932,Liverpool Street,Bank,5.49
TFL-J-182220,Stratford,Paddington,5.25
TFL-J-829391,London Bridge,Stratford,4.58
TFL-J-551001,Euston,Paddington,11.23
TFL-J-712868,Euston,Kings Cross,6.95
TFL-J-211725,London Bridge,Kings Cross,5.29
TFL-J-467140,Waterloo,Paddington,9.1
TFL-J-175467,London Bridge,Waterloo,4.96
TFL-J-599011,Bank,Liverpool Street,9.4
TFL-J-138116,Waterloo,London Bridge,11.43
TFL-J-165845,Kings Cross,Waterloo,9.4
TFL-J-353285,London Bridge,Euston,9.4
TFL-J-710681,Stratford,Waterloo,9.4
TFL-J-408710,Stratford,Canary Wharf,12.96
TFL-J-915476,London Bridge,Bank,5.11
TFL-J-313910,Kings Cross,Waterloo,5.39
TFL-J-145305,Kings Cross,Euston,9.4
TFL-J-167933,Victoria,Liverpool Street,9.4
TFL-J-618866,Euston,Canary Wharf,9.1
TFL-J-881247,Stratford,Bank,11.36
TFL-J-411830,Liverpool Street,Waterloo,5.4
TFL-J-241353,Kings Cross,Euston,7.63
TFL-J-647843,Canary Wharf,Kings Cross,4.61
TFL-J-570276,Euston,Bank,10.36
TFL-J-637158,Bank,Liverpool Street,9.4
TFL-J-405565,Bank,Waterloo,10.31
TFL-J-665393,Waterloo,Liverpool Street,7.59
TFL-J-244846,Stratford,Liverpool Street,9.4
TFL-J-624565,Bank,London Bridge,9.4
TFL-J-645280,Stratford,Victoria,9.4
TFL-J-169491,Paddington,Victoria,5.39
TFL-J-190451,Bank,Waterloo,9.4
TFL-J-813998,Euston,Victoria,11.86
TFL-J-399807,Kings Cross,Stratford,8.68
TFL-J-841322,Paddington,Kings Cross,5.44
TFL-J-525830,Stratford,London Bridge,13.35
TFL-J-702298,Euston,Paddington,14.2
TFL-J-668091,Kings Cross,Paddington,11.54
TFL-J-212338,Canary Wharf,Stratford,9.4
TFL-J-469362,Stratford,Euston,9.4
TFL-J-533779,Liverpool Street,London Bridge,9.4
TFL-J-859895,Paddington,Victoria,9.47
TFL-J-402962,Liverpool Street,London Bridge,12.56
TFL-J-624896,Kings Cross,Euston,10.06
TFL-J-153643,Victoria,Waterloo,7.88
TFL-J-475640,Waterloo,Liverpool Street,9.4
TFL-J-276692,Liverpool Street,Victoria,9.4
TFL-J-792111,London Bridge,Waterloo,5.0
TFL-J-145759,London Bridge,Waterloo,5.05
TFL-J-359867,London Bridge,Stratford,4.72
TFL-J-728115,Victoria,Canary Wharf,5.34
TFL-J-520712,Paddington,London Bridge,9.15
TFL-J-673903,London Bridge,Bank,5.22
TFL-J-237803,Canary Wharf,London Bridge,9.4
TFL-J-444586,Kings Cross,Stratford,5.36
TFL-J-838001,Victoria,Bank,5.37
TFL-J-787549,Paddington,Canary Wharf,5.38
TFL-J-267552,Victoria,Liverpool Street,9.4
TFL-J-547561,Liverpool Street,Kings Cross,8.9
TFL-J-964297,Waterloo,Euston,4.97
